date,instrument,weight
2022-05-17,ng1s,-0.0
2022-05-17,rb1s,-0.0
2022-05-18,cl1s,0.0
2022-05-18,ng1s,-0.0
2022-05-18,rb1s,-0.0
2022-05-19,cl1s,0.0
2022-05-19,ng1s,-0.0
2022-05-19,rb1s,-0.0
2022-05-20,cl1s,0.0
2022-05-20,rb1s,-0.0
2022-05-23,cl1s,0.0
2022-05-23,rb1s,-0.0
2022-05-24,cl1s,0.0
2022-05-24,rb1s,-0.0014620967933804522
2022-05-25,cl1s,0.0
2022-05-25,ng1s,-0.0
2022-05-25,rb1s,0.0
2022-05-26,cl1s,0.0
2022-05-26,rb1s,0.0
2022-05-27,cl1s,0.0
2022-05-27,rb1s,-0.0
2022-05-31,cl1s,0.6599385945466297
2022-05-31,ho1s,-0.3843364467080177
2022-05-31,rb1s,-0.0
2022-06-01,cl1s,0.0
2022-06-01,ng1s,-0.0
2022-06-01,rb1s,-0.0
2022-06-02,cl1s,0.0
2022-06-02,ng1s,-0.0
2022-06-02,rb1s,-0.0
2022-06-03,cl1s,0.0
2022-06-03,ng1s,-0.0
2022-06-03,rb1s,-0.0
2022-06-06,cl1s,0.0
2022-06-06,ng1s,-0.0
2022-06-06,rb1s,-0.0
2022-06-07,cl1s,0.2737356757524287
2022-06-07,ng1s,-0.07187784767895611
2022-06-07,rb1s,-0.0
2022-06-08,cl1s,0.0
2022-06-08,ng1s,-0.0
2022-06-08,rb1s,-0.0
2022-06-09,cl1s,0.0
2022-06-09,rb1s,-0.0
2022-06-10,cl1s,0.13179126393825924
2022-06-10,rb1s,-0.0
2022-06-13,cl1s,0.1004244836837452
2022-06-13,rb1s,0.0
2022-06-14,cl1s,0.4057019347834412
2022-06-14,rb1s,0.0
2022-06-15,cl1s,0.44043356668580963
2022-06-15,rb1s,0.0
2022-06-16,cl1s,0.02597786424257756
2022-06-16,rb1s,0.0
2022-06-17,cl1s,0.3269764217784238
2022-06-17,ng1s,-0.0
2022-06-17,rb1s,0.044444198923669555
2022-06-21,cl1s,0.2527060718633651
2022-06-21,ng1s,-0.0
2022-06-21,rb1s,0.11415173505743266
2022-06-22,cl1s,0.4687378518456432
2022-06-22,ng1s,-0.0
2022-06-22,rb1s,0.45449722861682007
2022-06-23,cl1s,0.2928743701856206
2022-06-23,rb1s,0.365312253057081
2022-06-24,cl1s,0.47784205694257825
2022-06-24,rb1s,0.4754199803892603
2022-06-27,cl1s,0.0
2022-06-27,rb1s,0.2086263886813198
2022-06-28,cl1s,0.0
2022-06-28,rb1s,-0.0
2022-06-29,cl1s,0.37752317851880945
2022-06-29,rb1s,-0.08502659715501353
