date,dxy,vix,us10y
2022-08-25,108.47000122070312,21.780000686645508,3.0260000228881836
2022-08-26,108.80000305175781,25.559999465942383,3.0350000858306885
2022-08-29,108.83999633789062,26.209999084472656,3.109999895095825
2022-08-30,108.7699966430664,26.209999084472656,3.109999895095825
2022-08-31,108.69999694824219,25.8700008392334,3.132999897003174
2022-09-01,109.69000244140625,25.559999465942383,3.265000104904175
2022-09-02,109.52999877929688,25.469999313354492,3.193000078201294
2022-09-06,110.20999908447266,26.90999984741211,3.3399999141693115
2022-09-07,109.83999633789062,24.639999389648438,3.265000104904175
2022-09-08,109.70999908447266,23.610000610351562,3.2920000553131104
2022-09-09,109.0,22.790000915527344,3.321000099182129
2022-09-12,108.33000183105469,23.8700008392334,3.361999988555908
2022-09-13,109.81999969482422,27.270000457763672,3.421999931335449
2022-09-14,109.66000366210938,26.15999984741211,3.4119999408721924
2022-09-15,109.73999786376953,26.270000457763672,3.4590001106262207
2022-09-16,109.76000213623047,26.299999237060547,3.447999954223633
2022-09-19,109.73999786376953,25.760000228881836,3.490000009536743
2022-09-20,110.22000122070312,27.15999984741211,3.571000099182129
2022-09-21,110.63999938964844,27.989999771118164,3.509999990463257
2022-09-22,111.3499984741211,27.350000381469727,3.7079999446868896
2022-09-23,113.19000244140625,29.920000076293945,3.697000026702881
2022-09-26,114.0999984741211,32.2599983215332,3.878000020980835
2022-09-27,114.11000061035156,32.599998474121094,3.9639999866485596
2022-09-28,112.5999984741211,30.18000030517578,3.7049999237060547
2022-09-29,112.25,31.84000015258789,3.746999979019165
2022-09-30,112.12000274658203,31.6200008392334,3.803999900817871
2022-10-03,111.75,30.100000381469727,3.6510000228881836
2022-10-04,110.06999969482422,29.06999969482422,3.617000102996826
2022-10-05,111.06999969482422,28.549999237060547,3.759000062942505
2022-10-06,112.26000213623047,30.520000457763672,3.8259999752044678
2022-10-07,112.80000305175781,31.360000610351562,3.882999897003174
2022-10-10,113.13999938964844,32.45000076293945,3.888000011444092
2022-10-11,113.22000122070312,33.630001068115234,3.938999891281128
2022-10-12,113.31999969482422,33.56999969482422,3.9019999504089355
2022-10-13,112.36000061035156,31.940000534057617,3.9519999027252197
2022-10-14,113.30999755859375,32.02000045776367,4.010000228881836
2022-10-17,112.04000091552734,31.3700008392334,4.014999866485596
2022-10-18,112.12999725341797,30.5,3.997999906539917
2022-10-19,112.9800033569336,30.760000228881836,4.126999855041504
2022-10-20,112.87999725341797,29.979999542236328,4.22599983215332
2022-10-21,112.01000213623047,29.690000534057617,4.2129998207092285
2022-10-24,111.98999786376953,29.850000381469727,4.234000205993652
2022-10-25,110.94999694824219,28.459999084472656,4.107999801635742
2022-10-26,109.69999694824219,27.280000686645508,4.014999866485596
2022-10-27,110.58999633789062,27.389999389648438,3.937000036239624
2022-10-28,110.66999816894531,25.75,4.010000228881836
2022-10-31,111.52999877929688,25.8799991607666,4.077000141143799
2022-11-01,111.4800033569336,25.809999465942383,4.052000045776367
2022-11-02,111.3499984741211,25.860000610351562,4.059000015258789
2022-11-03,112.93000030517578,25.299999237060547,4.124000072479248
2022-11-04,110.87999725341797,24.549999237060547,4.156000137329102
