feature,group,mean_across_inst,std_across_inst,cl1s_mean,ho1s_mean,rb1s_mean,ng1s_mean
amihud_20d,C_microstructure,1.5861586779270528e-07,1.5327018283113323e-07,1.1967816139225389e-09,2.434477649648587e-07,3.288190910762819e-07,6.099983351575804e-08
roll_spread_20d,C_microstructure,0.056212101315628545,0.08289250274651368,0.17879711838396342,0.012389089598356866,0.03362740069837442,3.4796581819475306e-05
volume_zscore_20d,C_microstructure,0.016052525926912118,0.019685221266774133,0.03986827655076602,-0.0061443834371842,0.008125496065067888,0.022360714528998762
dollar_volume_log,C_microstructure,13.287449887538209,2.5854206008819647,17.01271728586991,11.493139563809072,11.583142983326953,13.060799717146896
kyle_lambda_20d,C_microstructure,6.356492297981107e-05,4.17472262689823e-05,6.30810447078611e-05,8.607571621761983e-05,9.98744528372155e-05,5.2284781565478685e-06
rsi_14,D_meanrev_trend,54.28773105204356,2.0109498608018925,54.58696558211035,55.205062829254956,55.966444000774246,51.39245179603469
bb_position_20_2,D_meanrev_trend,0.16973738775163338,0.07812038387376123,0.19035546756920968,0.18098291472448969,0.2466742316994322,0.06093693701340202
macd_signal,D_meanrev_trend,0.054933724489898896,0.05943097609144537,0.13562831480581597,0.02285754311902453,0.06123293059177052,1.6109442984573747e-05
macd_histogram,D_meanrev_trend,-3.134799237777817e-05,0.000782533164244182,-0.0011434952563476098,0.0005945875489199392,0.0004241333632824763,-6.176253659183199e-07
adx_14,D_meanrev_trend,26.70358336300164,2.2986335687498913,26.61904846114119,29.966918442974645,24.847479721145234,25.3808868267455
williams_r_14,D_meanrev_trend,-41.26842929981218,6.5504452311284895,-38.20662900412409,-39.253736853451386,-36.65104843788543,-50.962302903787815
distance_from_200d_ma,D_meanrev_trend,0.883134407779103,0.9727606998950754,1.1313347556288542,1.1181034380907289,1.7828756922717672,-0.4997762548749379
cci_20,D_meanrev_trend,18.388516033879554,6.986638025641759,16.548826976876683,18.07721989708152,27.849847972814086,11.078169288745919
dominant_cycle_period,F_spectral_fractal,15.70935009788513,0.537798611265178,15.823138114539386,15.87132586097554,16.200147517026497,14.942788898999089
spectral_entropy,F_spectral_fractal,0.8889720454957459,0.003974370075965438,0.8909585568066793,0.8916036937762377,0.8902581954309109,0.8830677359691559
hurst_90d,F_spectral_fractal,0.5767446086069773,0.005602874930840767,0.5820518535298178,0.5798811966048002,0.5757260054576401,0.5693193788356511
dfa_alpha_90d,F_spectral_fractal,0.6484702215495447,0.015414146152895403,0.6344608120383681,0.6433143309040054,0.6704279792359065,0.6456777640198987
approx_entropy_20d,F_spectral_fractal,0.08241743473499653,0.013098225185241237,0.09393426072472333,0.0725529598997079,0.09349462490422472,0.0696878934113302
primary_signal,H_signal_interaction,0.14928343949044587,0.31285486700605597,0.5573248407643312,0.06847133757961783,0.16878980891719744,-0.19745222929936307
signal_changed,H_signal_interaction,0.09355095541401275,0.02192504198760391,0.1178343949044586,0.09076433121019108,0.10031847133757962,0.06528662420382166
signal_persistence,H_signal_interaction,24.793391719745223,9.627661155752891,13.375796178343949,28.514331210191084,21.421974522292995,35.861464968152866
signal_trend_concord,H_signal_interaction,0.005175159235668792,0.07602704185406782,0.10509554140127389,-0.042993630573248405,0.022292993630573247,-0.06369426751592357
signal_density_20d,H_signal_interaction,0.4935755336617406,0.41997687411218054,0.6736453201970444,0.10229885057471264,1.0,0.19835796387520527
day_of_year_sin,I_seasonality,0.12469310893441635,0.0,0.12469310893441635,0.12469310893441635,0.12469310893441635,0.12469310893441635
day_of_year_cos,I_seasonality,-0.00680243774319001,0.0,-0.00680243774319001,-0.00680243774319001,-0.00680243774319001,-0.00680243774319001
heating_season,I_seasonality,0.23215875624957197,0.0,0.23215875624957197,0.23215875624957197,0.23215875624957197,0.23215875624957197
driving_season_progress,I_seasonality,0.19798301486199577,0.0,0.19798301486199577,0.19798301486199577,0.19798301486199577,0.19798301486199577
hurricane_season_indicator,I_seasonality,0.18162283405246213,0.0,0.18162283405246213,0.18162283405246213,0.18162283405246213,0.18162283405246213
quarter_progress,I_seasonality,0.5070224784638296,0.0,0.5070224784638296,0.5070224784638296,0.5070224784638296,0.5070224784638296
skew_20d,J_higher_moments_range,-0.3070856278318904,0.16741950359915464,-0.3961259829450976,-0.37679418334663484,-0.39902928990884196,-0.05639305512698723
skew_60d,J_higher_moments_range,-0.5743366817472532,0.3779829934669566,-0.7898587637564242,-0.7732182268667942,-0.7254256789353527,-0.008844057430441575
kurt_20d,J_higher_moments_range,0.7641474448793485,0.24471321372153157,0.9786236153893068,0.8819003876264493,0.7777546117843909,0.41831116471724694
downside_vol_20d,J_higher_moments_range,0.020435200232239183,0.002505480008992068,0.022985020906262418,0.017035163849920938,0.020408078067316284,0.021312538105457097
price_range_position_60d,J_higher_moments_range,0.6107227177576425,0.0978344356629856,0.6436262515115264,0.6502325252425737,0.6827962784568158,0.46623581581965406
range_position_5d_chg,J_higher_moments_range,-0.0010762643785594708,0.001295343185841959,-0.0024413110126041576,-0.0010454635367543488,-0.0014766935854525721,0.0006584106205731954
return_vol_correl_60d,J_higher_moments_range,-0.11321192976210565,0.09949527795002079,-0.19643503813862648,-0.15439813832384489,-0.1326672443182964,0.030652701732345182
return_autocorr_30d,J_higher_moments_range,-0.024844363218028465,0.017796033184982858,-0.038221909595468104,-0.020165671558074003,-0.0016347601981792125,-0.03935511152039255
hmm_p_state0,E_latent_regime,0.5591203108613123,0.12460036132658356,0.49593882110771703,0.5058505191295093,0.4889603443699516,0.7457315588380711
hmm_p_state1,E_latent_regime,0.4408796891386534,0.12460036132662032,0.5040611788921585,0.49414948087052124,0.5110396556300947,0.2542684411618393
hmm_state_persistence,E_latent_regime,70.60230891719745,28.699893361337683,47.30891719745223,44.640127388535035,90.68152866242038,99.77866242038216
gmm_logdensity,E_latent_regime,2.8165002390814995,1.7949976175117295,0.1858174319329551,4.186356136271809,3.2542872663735944,3.63954012174764
gmm_argmax,E_latent_regime,0.5298566878980893,0.19892937217532305,0.6863057324840764,0.6767515923566879,0.2627388535031847,0.49363057324840764
corr_basket_60d,G_cross_sectional,0.5845849002683727,0.2956017146592818,0.7270099291246465,0.7501856880418343,0.7195293067228435,0.14161467718416645
