date,instrument,weight
2022-02-24,ng1s,-0.29392990060936514
2022-02-24,rb1s,0.0
2022-02-25,cl1s,0.0
2022-02-25,ng1s,-0.2961321846806343
2022-02-25,rb1s,0.0
2022-02-28,cl1s,0.0
2022-02-28,ng1s,-0.30052872954290527
2022-02-28,rb1s,0.0
2022-03-01,ng1s,-0.3034742727762901
2022-03-01,rb1s,0.0
2022-03-02,ng1s,-0.306246046977203
2022-03-02,rb1s,-0.0
2022-03-03,cl1s,0.0
2022-03-03,ng1s,-0.3110462234062529
2022-03-03,rb1s,-0.0
2022-03-04,ng1s,-0.31037858747676705
2022-03-04,rb1s,-0.0
2022-03-07,ng1s,-0.3121581908492352
2022-03-07,rb1s,-0.6538251210907939
2022-03-08,ng1s,-0.30884446588503184
2022-03-08,rb1s,-0.6572089848516325
2022-03-09,ng1s,-0.3140125743449927
2022-03-09,rb1s,-0.5115515439283287
2022-03-10,ng1s,-0.31852918513783207
2022-03-10,rb1s,-0.5018888310515062
2022-03-11,ng1s,-0.3233454636621461
2022-03-11,rb1s,-0.4957471437086471
2022-03-14,cl1s,-0.0
2022-03-14,ng1s,-0.32806107362409265
2022-03-14,rb1s,-0.48642487335810103
2022-03-15,ng1s,-0.33241568757218015
2022-03-15,rb1s,0.0
2022-03-16,ng1s,-0.3350422567039792
2022-03-16,rb1s,0.0
2022-03-17,ng1s,-0.33570997746695896
2022-03-17,rb1s,-0.4540191546630523
2022-03-18,cl1s,-0.0
2022-03-18,rb1s,-0.4616329310157578
2022-03-21,cl1s,-0.0
2022-03-21,rb1s,-0.461803056769791
2022-03-22,cl1s,-0.0
2022-03-22,rb1s,-0.4674900724045434
2022-03-23,cl1s,-0.0
2022-03-23,rb1s,-0.47093364747546695
2022-03-24,cl1s,-0.0
2022-03-24,rb1s,-0.4759047693580442
2022-03-25,cl1s,-0.4168898086232737
2022-03-25,rb1s,-0.4825958568057478
2022-03-28,cl1s,-0.0
2022-03-28,rb1s,-0.4546911457146362
2022-03-29,rb1s,-0.4617514956379499
2022-03-30,rb1s,-0.46379735686930706
2022-03-31,rb1s,0.45915590457949573
2022-04-01,rb1s,0.46684230984338004
2022-04-04,rb1s,0.0
2022-04-05,rb1s,0.48063756706931304
2022-04-06,rb1s,0.47786887812692697
2022-04-07,rb1s,0.48580776909935003
2022-04-08,rb1s,0.48823927807107037
2022-04-11,rb1s,0.48339603537592235
2022-04-12,rb1s,0.4754738199358245
2022-04-13,cl1s,-0.400954962413947
2022-04-13,rb1s,0.47268920962838845
2022-04-14,cl1s,-0.4059305531973235
2022-04-14,rb1s,-0.47709865952077046
2022-04-18,rb1s,-0.48489921765417965
2022-04-19,rb1s,-0.48039004444046585
2022-04-20,rb1s,-0.48798326310934625
2022-04-21,rb1s,-0.4949813181732838
2022-04-22,rb1s,-0.5019764234906375
2022-04-25,rb1s,0.5062263526832993
2022-04-26,rb1s,-0.0
2022-04-27,cl1s,0.43531280054977384
2022-04-27,rb1s,-0.0
2022-04-28,cl1s,0.0
2022-04-28,rb1s,-0.5191281359794203
2022-04-29,cl1s,0.0
2022-04-29,rb1s,-0.5260565884116959
2022-05-02,cl1s,0.0
2022-05-02,rb1s,-0.5328004096749254
2022-05-03,cl1s,0.45509483917656857
2022-05-03,rb1s,-0.5412470502368935
2022-05-04,cl1s,0.44855755898356325
2022-05-04,ng1s,-0.3690000210232453
2022-05-04,rb1s,-0.5363431924184302
2022-05-05,cl1s,0.45609629235077687
2022-05-05,ng1s,-0.37236276872867846
2022-05-05,rb1s,-0.5451964781596403
2022-05-06,cl1s,0.46316742475545797
2022-05-06,ng1s,-0.3509926431086404
2022-05-06,rb1s,-0.5497150309832701
2022-05-09,cl1s,0.0
2022-05-09,rb1s,-0.544992018949391
2022-05-10,cl1s,0.44809014596186586
2022-05-10,rb1s,0.5437109679034062
2022-05-11,cl1s,0.4375970760978595
2022-05-11,rb1s,0.0
2022-05-12,cl1s,0.0
2022-05-12,rb1s,-0.5438558978468646
2022-05-13,cl1s,0.44469343523731253
2022-05-13,rb1s,-0.5393941871066811
2022-05-16,cl1s,0.4475355157448109
2022-05-16,rb1s,-0.5476581652580884
2022-05-17,cl1s,0.0
2022-05-17,ng1s,-0.3371538621072444
2022-05-17,rb1s,-0.549170743884849
2022-05-18,cl1s,0.0
2022-05-18,ng1s,-0.3428020484950888
2022-05-18,rb1s,-0.0
2022-05-19,cl1s,0.0
2022-05-19,ng1s,-0.34779635783872853
2022-05-19,rb1s,-0.0
2022-05-20,cl1s,0.0
2022-05-20,rb1s,-0.0
